run_id,w_in_l1_sum,w_in_l0,w_rec_l1_sum,w_rec_l0,w_out_l1_sum,w_out_l0
run_1046_l1-0.0005_beta0.001_alpha0.1_trav50_blk1_temp0.001,249.24990844726562,9441,296.8817443847656,9078,86.67498779296875,1395
run_1047_l1-0.0005_beta0.001_alpha0.1_trav50_blk1_temp0.001_eps-0.01,310.7952880859375,9502,318.03125,9027,94.63622283935547,1459
run_1048_l1-0.0005_beta0.001_alpha0.1_trav50_blk1_temp0.01,272.54498291015625,12755,317.6077880859375,9439,119.94178009033203,1620
run_1049_l1-0.0005_beta0.001_alpha0.1_trav50_blk1_temp0.01_eps-0.01,304.025146484375,12760,325.93768310546875,9427,111.55762481689453,1636
run_104_l1-1e-06_beta0.003_alpha0.03_trav500_blk1_temp0.0001,3639.728271484375,13299,3681.417724609375,9983,2748.41748046875,1668
run_1050_l1-0.0005_beta0.001_alpha0.1_trav50_blk1_temp0.1,308.5435791015625,12785,384.61712646484375,9452,139.2458038330078,1633
run_1051_l1-0.0005_beta0.001_alpha0.1_trav50_blk1_temp0.1_eps-0.01,308.47833251953125,12861,385.8395080566406,9498,126.48529815673828,1634
run_1052_l1-0.0005_beta0.001_alpha0.1_trav50_blk1_temp1.0,328.7218017578125,12797,387.60382080078125,9393,124.58821105957031,1627
run_1053_l1-0.0005_beta0.001_alpha0.1_trav50_blk1_temp1.0_eps-0.01,291.3830871582031,12825,376.59320068359375,9456,117.50508880615234,1621
run_1054_l1-0.0005_beta0.001_alpha0.2_trav50_blk1_temp0.0001,385.1498107910156,12831,374.35321044921875,9456,93.83486938476562,1642
run_1055_l1-0.0005_beta0.001_alpha0.2_trav50_blk1_temp0.0001_eps-0.01,338.31005859375,12820,280.6378173828125,9444,100.70966339111328,1640
run_1056_l1-0.0005_beta0.001_alpha0.2_trav50_blk1_temp0.001,247.95376586914062,12629,293.1559143066406,9462,94.13397979736328,1643
run_1057_l1-0.0005_beta0.001_alpha0.2_trav50_blk1_temp0.001_eps-0.01,292.3182373046875,12796,284.9653625488281,9434,100.8203353881836,1638
run_1058_l1-0.0005_beta0.001_alpha0.2_trav50_blk1_temp0.01,298.63165283203125,12877,374.2386474609375,9516,123.8653335571289,1630
run_1059_l1-0.0005_beta0.001_alpha0.2_trav50_blk1_temp0.01_eps-0.01,303.25958251953125,12771,332.8804626464844,9467,119.7002944946289,1623
run_105_l1-1e-06_beta0.003_alpha0.03_trav500_blk1_temp1.0,4353.86279296875,13299,4634.7900390625,9998,3112.845947265625,1695
run_1060_l1-0.0005_beta0.001_alpha0.2_trav50_blk1_temp0.1,341.3007507324219,12805,382.5162658691406,9463,127.30590057373047,1650
run_1061_l1-0.0005_beta0.001_alpha0.2_trav50_blk1_temp0.1_eps-0.01,328.0389709472656,12831,351.8462829589844,9468,135.45547485351562,1649
run_1062_l1-0.0005_beta0.001_alpha0.2_trav50_blk1_temp1.0,291.72064208984375,12811,371.3457946777344,9474,130.39405822753906,1626
run_1063_l1-0.0005_beta0.001_alpha0.2_trav50_blk1_temp1.0_eps-0.01,295.327880859375,12840,375.6033020019531,9516,123.31511688232422,1632
run_1064_l1-0.0005_beta0.003_alpha0.01_trav50_blk1_temp0.0001,272.76611328125,11579,116.83356475830078,9279,178.20196533203125,1620
run_1065_l1-0.0005_beta0.003_alpha0.01_trav50_blk1_temp0.0001_eps-0.01,115.67178344726562,12376,1.6049931049346924,9312,112.24687194824219,1608
run_1066_l1-0.0005_beta0.003_alpha0.01_trav50_blk1_temp0.001,232.28172302246094,12116,135.3642120361328,9334,121.422119140625,1587
run_1067_l1-0.0005_beta0.003_alpha0.01_trav50_blk1_temp0.001_eps-0.01,140.89321899414062,12472,4.672585487365723,9296,122.90205383300781,1596
run_1068_l1-0.0005_beta0.003_alpha0.01_trav50_blk1_temp0.01,411.3848571777344,11922,294.9351806640625,9396,111.07666778564453,1564
