density,modularity,modularity_louvain,modularity_leiden,efficiency,rich_club,small_worldness,participation,full_id,dataset,age
0.135,0.515156814629218,0.515156814629218,0.5161028746341754,0.6130507526845344,1.4848156879243009,-0.1226437780336278,0.3440797850253776,Subj_749,HCPya,23.0
0.135,0.5003848456032343,0.5003848456032343,0.5048565008655279,0.5460513114699113,1.5681893617123295,-0.07058512925479021,0.3197244236345306,Subj_750,HCPya,26.0
0.135,0.5633818013057962,0.5633818013057962,0.5666122312715676,0.6122576594395491,1.3029746089611678,-0.1165391940425583,0.3542151179971266,Subj_751,HCPya,33.0
0.135,0.5633475078358045,0.5633475078358045,0.5468234230186495,0.6208525541108738,1.4955987642795938,-0.07019638048848842,0.3017083668921188,Subj_752,HCPya,31.0
0.135,0.5776133113111901,0.5776133113111901,0.5778436531869205,0.589134565796673,1.339911191883374,-0.17117445259970987,0.3013594608170031,Subj_753,HCPya,26.0
0.135,0.5570606357030538,0.5570606357030538,0.569286813708791,0.5998108439655733,1.4453229371809397,-0.0946534397809734,0.27030415768788446,Subj_754,HCPya,32.0
0.135,0.5560302244501789,0.5560302244501789,0.5599479239150416,0.5697108215910343,1.4670750781641364,-0.12503723789796906,0.2739896899523465,Subj_755,HCPya,26.0
0.135,0.552252575364169,0.552252575364169,0.5638489629832166,0.6193566289209318,1.2857139822568366,-0.08217846067179657,0.27593638934518977,Subj_756,HCPya,33.0
0.135,0.5494107398568606,0.5494107398568606,0.5545719382360594,0.5731710545584846,1.2804520435353068,-0.08208746298305014,0.33693467598234433,Subj_757,HCPya,34.0
0.135,0.5811748724899233,0.5811748724899233,0.5813418842741985,0.6025410729744869,1.3799187456652948,-0.07011061782647698,0.32542567388843385,Subj_758,HCPya,28.0
0.135,0.5332932549837459,0.5332932549837459,0.5262166355936929,0.6216263694757017,1.4709442072354622,-0.048258613360667946,0.3503774713415784,Subj_759,HCPya,34.0
0.135,0.5210651664341757,0.5210651664341757,0.5327752930494076,0.5700453543746291,1.3542593839108394,-0.06296604648094062,0.33039681222600586,Subj_760,HCPya,33.0
0.135,0.5532901789420649,0.5532901789420649,0.5575869332036101,0.6048937522551986,1.2843366777265137,-0.1440790403878437,0.3149650292308157,Subj_761,HCPya,25.0
0.135,0.5628157925923641,0.5628157925923641,0.5628806514376823,0.6232548539036408,1.326270009190027,-0.24381264907308342,0.32356695720822853,Subj_762,HCPya,23.0
0.135,0.5736130885251253,0.5736130885251253,0.5758924222247616,0.6001510546801369,1.4886803251401777,-0.09874267525792346,0.28587084548238484,Subj_763,HCPya,25.0
0.135,0.5674018567243021,0.5674018567243021,0.566112842101872,0.6112956547940878,1.4190852615717908,-0.055377269239165305,0.28264448048822866,Subj_764,HCPya,31.0
0.135,0.5358011559982745,0.5358011559982745,0.5373657899693458,0.6328208438296667,1.3438123307866667,-0.07940677571379051,0.3142490591941117,Subj_765,HCPya,35.0
0.135,0.5337100952913554,0.5337100952913554,0.5346035146588484,0.6127776333011246,1.3216769206678882,-0.11962570003214845,0.3291456093451584,Subj_766,HCPya,32.0
0.135,0.5774692210582149,0.5774692210582149,0.5774692210582149,0.5987135483660069,1.4015174672350947,-0.09720653477427432,0.3162895861701322,Subj_767,HCPya,30.0
0.135,0.5630075102757149,0.5630075102757149,0.5638091517326754,0.5808617071504023,1.39006873461269,-0.05757746107247219,0.3082106154995208,Subj_768,HCPya,27.0
0.135,0.5209309991055312,0.5209309991055312,0.5209309991055313,0.6230745860248346,1.4842845324493,-0.05997152152485763,0.2887176712289077,Subj_769,HCPya,32.0
0.135,0.5485380040539984,0.5485380040539984,0.5545544311172353,0.595401459547884,1.4149238538698246,-0.14093664201372857,0.336117418345237,Subj_770,HCPya,34.0
0.135,0.5682475051497886,0.5682475051497886,0.5610020370105201,0.5984940529377313,1.4219739931902746,-0.1093661429425341,0.3181261621174065,Subj_771,HCPya,30.0
0.135,0.5699053517714993,0.5699053517714993,0.5669472761835259,0.5905890954001366,1.376741810803584,-0.10066097048527844,0.33961647342725404,Subj_772,HCPya,33.0
0.135,0.5768755565258669,0.5768755565258669,0.5793078544948398,0.6175224049116722,1.5044872730913976,-0.08537614536362614,0.30110240934269084,Subj_773,HCPya,30.0
0.135,0.5300930331056033,0.5300930331056033,0.5411710471075308,0.6393104967358229,1.3910133811820302,-0.052607063871959237,0.29107512728099977,Subj_774,HCPya,22.0
0.135,0.534394203022973,0.534394203022973,0.5398232428261385,0.6449348129985865,1.572041059063479,-0.03743113683532362,0.3188565247284194,Subj_775,HCPya,29.0
0.135,0.542582205028446,0.542582205028446,0.5419315944708115,0.559364589746994,1.322386072435018,-0.10024718568947433,0.33192560104682545,Subj_776,HCPya,26.0
0.135,0.5723720017827534,0.5723720017827534,0.574671785017077,0.5948251633756017,1.3681464529951946,-0.0684983971043136,0.2995356939471002,Subj_777,HCPya,27.0
0.135,0.5433030986920617,0.5433030986920617,0.5467574142848965,0.5841283119518076,1.391080729832878,-0.07054513219027381,0.2968954907007478,Subj_778,HCPya,27.0
0.135,0.587043605957877,0.587043605957877,0.5921222200916297,0.5897465295066512,1.3314800214180234,-0.06980007448481118,0.2990048431569637,Subj_779,HCPya,27.0
0.135,0.5345333085086424,0.5345333085086424,0.5485041874656549,0.5881964732814728,1.4767989487930824,-0.030700189432099734,0.3354641248521879,Subj_780,HCPya,32.0
0.135,0.549972650453923,0.549972650453923,0.5577858316332218,0.6186464393863269,1.4426657577239117,-0.18930879281816515,0.32367344501679407,Subj_781,HCPya,30.0
0.135,0.5566536130926237,0.5566536130926237,0.554667226057739,0.6158339249865068,1.2812860528092962,-0.146263497947821,0.3443187308329722,Subj_782,HCPya,34.0
0.135,0.5918487250237352,0.5918487250237352,0.593587276010384,0.5648642084755842,1.5033422897872475,-0.08136529271409065,0.24624739267442888,Subj_783,HCPya,25.0
0.135,0.5659077845945233,0.5659077845945233,0.5702153630668026,0.6157961261526873,1.4298039957529785,-0.08901236955500524,0.2672865325576495,Subj_784,HCPya,31.0
0.135,0.5295527025644671,0.5295527025644671,0.5410120357935864,0.5988910648090175,1.398705306805165,-0.029403022811749002,0.32825533535210655,Subj_785,HCPya,29.0
0.135,0.5622038626081004,0.5622038626081004,0.5587836301960745,0.5803391176344095,1.563497372083618,-0.11965884806707983,0.3029677698981091,Subj_786,HCPya,28.0
0.135,0.5261620330506374,0.5261620330506374,0.5304995665452992,0.6159783777967638,1.4734819661748926,-0.07071996587170859,0.31618034038295223,Subj_787,HCPya,28.0
