"dataset","subj_id","nseq","ntrialseq","ntrialsubj","event","D","I","H"
"MPI",5,5,2,20,1,0.0283057932583333,1.58496250072116,1.84237099317711
"MPI",5,6,0,21,0,0.0780719051126377,2,1.92192809488736
"MPI",5,6,1,22,0,0.0294468445267842,1.32192809488736,1.79248125036058
"MPI",5,6,2,23,1,0.0633218643778377,2.58496250072116,1.84237099317711
"MPI",5,7,0,24,0,0.0780719051126377,2,1.92192809488736
"MPI",5,7,1,25,0,0.0294468445267842,1.32192809488736,1.79248125036058
"MPI",5,7,2,26,0,0.0633218643778377,2.58496250072116,1.84237099317711
"MPI",6,0,0,1,0,0.0780719051126377,2,1.92192809488736
"MPI",6,0,1,2,0,0.0294468445267842,1.32192809488736,1.79248125036058
"MPI",6,0,2,3,0,0.0147718639657485,1,1.66449777920046
"MPI",6,0,3,4,0,0.00855998136220558,0.807354922057604,1.5487949406954
"MPI",6,0,4,5,0,0.00543126911355016,0.678071905112638,1.44661666762821
"MPI",6,0,5,6,0,0.00367160149046366,0.584962500721156,1.35677964944704
"MPI",6,0,6,7,0,0.00260198748089857,0.514573172829758,1.27761343681912
"MPI",6,0,7,8,0,0.00191286899787533,0.459431618637297,1.20751874963942
"MPI",6,0,8,9,0,0.00144823907625648,0.415037499278844,1.14511041438158
"MPI",6,0,9,10,0,0.00112327902986537,0.37851162325373,1.08923007884258
"MPI",6,0,10,11,0,0.000889032116172857,0.347923303420307,1.03892059503159
"MPI",6,0,11,12,0,0.000715834762216514,0.321928094887362,0.993392729010363
"MPI",6,0,12,13,1,0.000584973739729192,0.299560281858908,0.951994081908783
"MPI",6,1,0,14,0,0.0780719051126377,2,1.92192809488736
"MPI",6,1,1,15,0,0.0294468445267842,1.32192809488736,1.79248125036058
"MPI",6,1,2,16,0,0.0633218643778377,2.58496250072116,1.84237099317711
"MPI",6,1,3,17,0,0.0148736716970261,1.22239242133645,1.75
"MPI",6,1,4,18,0,0.00892394016177786,1,1.65774272650489
"MPI",6,1,5,19,0,0.0479969065549501,3.16992500144231,1.76096404744368
"MPI",6,1,6,20,0,0.00596978852304345,1,1.68581570915303
"MPI",6,1,7,21,0,0.0411357845828078,3.4594316186373,1.79248125036058
"MPI",6,1,8,22,0,0.00427254791507444,1,1.72724860626392
"MPI",6,1,9,23,0,0.00316769776485714,0.893084796083488,1.66449777920046
"MPI",6,1,10,24,0,0.0174568265933169,2.8073549220576,1.72323142879762
"MPI",6,1,11,25,0,0.0165710644937353,2.90689059560852,1.78063906222957
"MPI",6,1,12,26,0,0.00249745363088484,1,1.73222166376165
"MPI",6,1,13,27,1,0.00198400283305474,0.917537839808027,1.68497744848673
"MPI",6,2,0,28,0,0.0780719051126377,2,1.92192809488736
"MPI",6,2,1,29,0,0.0294468445267842,1.32192809488736,1.79248125036058
"MPI",6,2,2,30,0,0.0147718639657485,1,1.66449777920046
"MPI",6,2,3,31,0,0.0573549220576041,2.8073549220576,1.75
"MPI",6,2,4,32,0,0.00892394016177786,1,1.65774272650489
"MPI",6,2,5,33,0,0.00581755005522627,0.84799690655495,1.57095059445467
"MPI",6,2,6,34,0,0.00401892619144097,0.736965594166206,1.49111485005519
"MPI",6,2,7,35,0,0.00289916987773836,0.652076696579693,1.41829583405449
"MPI",6,2,8,36,0,0.038368936426218,3.58496250072116,1.54659356429494
"MPI",6,2,9,37,0,0.00232229701068887,0.700439718141092,1.48383170684469
